"2017-09-21 15:27:54",A32-2178/17(2.1.15-S6),Lazdynų,"TERITORIJOS PATIKRINIMO AKTAS 2017-09-21","Files/Lazdynų/2017/09/21/47555658/Teritorijos+patikrinimo+aktas 2017-09-21.docx"
"2017-09-20 13:47:15",A32-2166/17(2.1.15-S6),Lazdynų,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ PATIKRINIMO AKTAS 2017-09-20","Files/Lazdynų/2017/09/20/47539537/2017-09-20 Atliekų PATIKR aktas.docx"
"2017-09-14 10:50:19",A32-2122/17(2.1.15-S6),Lazdynų,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ PATIKRINIMO AKTAS 2017-09-14","Files/Lazdynų/2017/09/14/47479387/2017-09-14 Atliekų PATIKR aktas.docx"
"2017-09-14 10:35:59",A32-2120/17(2.1.15-S6),Lazdynų,"TERITORIJOS PATIKRINIMO AKTAS 2017-09-13","Files/Lazdynų/2017/09/14/47479090/Teritorijos+patikrinimo+aktas 2017-09-13.docx"
"2017-09-07 10:53:22",A32-2070/17(2.1.15-S6),Lazdynų,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ PATIKRINIMO AKTAS 2017-09-07","Files/Lazdynų/2017/09/07/47413500/2017-09-07 Atliekų PATIKR aktas.docx"
"2017-09-06 15:37:00",A32-2064/17(2.1.15-S6),Lazdynų,"TERITORIJOS PATIKRINIMO AKTAS 2017-09-06","Files/Lazdynų/2017/09/06/47406660/Teritorijos+patikrinimo+aktas 2017-09-06.docx"
"2017-08-31 13:33:16",A32-2011/17(2.1.15-S6),Lazdynų,"TERITORIJOS PATIKRINIMO AKTAS 2017-08-30","Files/Lazdynų/2017/08/31/47347787/Teritorijos+patikrinimo+aktas 2017-08-30.docx"
"2017-08-31 13:29:15",A32-2010/17(2.1.15-S6),Lazdynų,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ PATIKRINIMO AKTAS 2017-08-31","Files/Lazdynų/2017/08/31/47347658/2017-08-31 Atliekų PATIKR aktas.docx"
"2017-08-23 15:12:47",A32-1939/17(2.1.15-S6),Lazdynų,"TERITORIJOS PATIKRINIMO AKTAS 2017-08-23","Files/Lazdynų/2017/08/23/47276310/Teritorijos+patikrinimo+aktas 2017-08-23.docx"
"2017-08-22 13:24:45",A32-1925/17(2.1.15-S6),Lazdynų,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ PATIKRINIMO AKTAS 2017-08-22","Files/Lazdynų/2017/08/22/47261402/2017-08-22 Atliekų PATIKR aktas.docx"
"2017-08-17 09:44:59",A32-1887/17(2.1.15-S6),Lazdynų,"BUITINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERINIŲ AIKŠTELIŲ PATIKRINIMO AKTAS 2017-08-17","Files/Lazdynų/2017/08/17/47222593/2017-08-17 Atliekų PATIKR aktas.docx"
"2017-08-16 13:19:07",A32-1882/17(2.1.15-S6),Lazdynų,"TERITORIJOS PATIKRINIMO AKTAS 2017-08-16","Files/Lazdynų/2017/08/16/47214894/Teritorijos+patikrinimo+aktas 2017-08-16.docx"
